MID,MDESC,Phân loại dịch vụ bậc 1,Phân loại dịch vụ bậc 2
568,Thẻ trả trước - Xác nhận khóa/mở khóa ECOM,Thẻ,Dịch vụ thẻ trả trước
569,Thẻ trả trước - Lịch sử giao dịch,Thẻ,Dịch vụ thẻ trả trước
577,Danh sách thẻ phát hành,Thẻ,Dịch vụ phát hành thẻ
578,Phát hành thẻ - Khởi tạo,Thẻ,Dịch vụ phát hành thẻ
579,Phát hành thẻ - Xác nhận,Thẻ,Dịch vụ phát hành thẻ
580,"Phát hành thẻ, Kiểm tra phát hành thẻ hay chưa",Thẻ,Dịch vụ phát hành thẻ
581,Danh sách thẻ phát hành vay nhanh,Thẻ,Dịch vụ thẻ vay nhanh
582,Chi tiết thẻ phát hành vay nhanh,Thẻ,Dịch vụ thẻ vay nhanh
583,Phát hành thẻ vay nhanh - Khởi tạo,Thẻ,Dịch vụ thẻ vay nhanh
584,Phát hành thẻ vay nhanh - Xác nhận,Thẻ,Dịch vụ thẻ vay nhanh
585,Phát hành thẻ vay nhanh - Kiểm tra,Thẻ,Dịch vụ thẻ vay nhanh
586,Khởi tạo lấy thông tin chi tiết thẻ,Thẻ,Dịch vụ thẻ vay nhanh
587,Xác thực lấy thông tin chi tiết thẻ,Thẻ,Dịch vụ thẻ vay nhanh
588,Lấy danh sách thẻ từ được chuyển đổi sang thẻ chip,Thẻ,Dịch vụ thẻ vay nhanh
600,Lấy nhóm tài khoản số đẹp,Dịch vụ khác,Dịch vụ tài khoản số đẹp
601,Lấy danh sách tài khoản số đẹp (theo nhóm),Dịch vụ khác,Dịch vụ tài khoản số đẹp
602,Khởi tạo Mở tài khoản số đẹp,Dịch vụ khác,Dịch vụ tài khoản số đẹp
603,Xác nhận Mở tài khoản số đẹp,Dịch vụ khác,Dịch vụ tài khoản số đẹp
660,Khởi tạo mở tài khoản tiền gửi tích lũy (newcore),Tiền Gửi,Dịch vụ tiền gửi tích lũy
661,Xác nhận mở tài khoản tiền gửi tích lũy (newcore),Tiền Gửi,Dịch vụ tiền gửi tích lũy
662,Khởi tạo gửi tích lũy online (newcore),Tiền Gửi,Dịch vụ tiền gửi tích lũy
663,Xác nhận gửi tích lũy online (newcore),Tiền Gửi,Dịch vụ tiền gửi tích lũy
664,Khởi tạo thay đổi tài khoản tích lũy online (newcore),Tiền Gửi,Dịch vụ tiền gửi tích lũy
665,Xác nhận thay đổi tài khoản tích lũy (newcore),Tiền Gửi,Dịch vụ tiền gửi tích lũy
666,Khởi tạo tất toán tiền gửi tích lũy (newcore),Tiền Gửi,Dịch vụ tiền gửi tích lũy
667,Xác nhận tất toán tiền gửi tích lũy (newcore),Tiền Gửi,Dịch vụ tiền gửi tích lũy
668,Kiểm tra GD tích lũy (newcore),Tiền Gửi,Dịch vụ tiền gửi tích lũy
669,Lấy danh sách sản phẩm tích lũy (newcore),Tiền Gửi,Dịch vụ tiền gửi tích lũy
670,Gửi mail ASXH (newcore),Dịch vụ khác,Dịch vụ mail
700,"Loyalty: Kiểm tra KH có tk?, chi tiết tk",Dịch vụ khác,Dịch vụ khách hàng trung thành
701,Loyalty: Lấy ds khu vực,Dịch vụ khác,Dịch vụ khách hàng trung thành
702,Loyalty: Lấy danh mục quà tặng,Dịch vụ khác,Dịch vụ khách hàng trung thành
703,Loyalty: Lấy ds quà tặng,Dịch vụ khác,Dịch vụ khách hàng trung thành
704,Loyalty: Lấy ds quà tặng yêu thích,Dịch vụ khác,Dịch vụ khách hàng trung thành
705,Loyalty: Lấy ds quà tặng gợi ý,Dịch vụ khác,Dịch vụ khách hàng trung thành
706,Loyalty: Chi tiết quà tặng,Dịch vụ khác,Dịch vụ khách hàng trung thành
707,Loyalty: Lịch sử đổi điểm 3 tháng gần nhất,Dịch vụ khác,Dịch vụ khách hàng trung thành
708,Loyalty: Lịch sử đổi điểm theo các tiêu chí,Dịch vụ khác,Dịch vụ khách hàng trung thành
709,Loyalty: Chi tiết lịch sử đổi điểm,Dịch vụ khác,Dịch vụ khách hàng trung thành
710,Loyalty: Lấy ds quà tặng của tôi,Dịch vụ khác,Dịch vụ khách hàng trung thành
711,Loyalty: Chi tiết quà tặng của tôi,Dịch vụ khác,Dịch vụ khách hàng trung thành
712,Loyalty: Kiểm tra đk đổi quà,Dịch vụ khác,Dịch vụ khách hàng trung thành
713,Loyalty: Đổi quà - khởi tạo,Dịch vụ khác,Dịch vụ khách hàng trung thành
714,Loyalty: Đổi quà - confirm,Dịch vụ khác,Dịch vụ khách hàng trung thành
715,Loyalty: Gửi yêu cầu khiếu lại,Dịch vụ khác,Dịch vụ khách hàng trung thành
716,Loyalty: Thêm/Bỏ yêu thích,Dịch vụ khác,Dịch vụ khách hàng trung thành
717,Loyalty: Lấy danh sách thẻ Loyalty,Dịch vụ khác,Dịch vụ khách hàng trung thành
718,Loyalty: Lấy danh mục quà tặng (màn hình home),Dịch vụ khác,Dịch vụ khách hàng trung thành
719,Truy vấn thông tin gói cước/quà VNSHOP,Dịch vụ khác,Dịch vụ khách hàng trung thành
720,Loyalty: Lấy ds nhà cung cấp,Dịch vụ khác,Dịch vụ khách hàng trung thành
721,Loyalty: Sao kê tài khoản điểm ,Dịch vụ khác,Dịch vụ khách hàng trung thành
722,Loyalty: Lấy ds quà hot deal,Dịch vụ khác,Dịch vụ khách hàng trung thành
723,Loyalty: kiểm tra điều kiện đổi quà omni,Dịch vụ khác,Dịch vụ khách hàng trung thành
780,Lấy danh sách tài khoải tiết kiệm đủ điều kiện vay cầm cố,Tiền Vay,Dịch vụ vay cầm cố
781,Khởi tạo vay cầm cố,Tiền Vay,Dịch vụ vay cầm cố
782,Xác nhận vay cầm cố,Tiền Vay,Dịch vụ vay cầm cố
783,Lấy chi tiết tài khoải tiết kiệm đủ điều kiện vay cầm cố,Tiền Vay,Dịch vụ vay cầm cố
784,Lấy danh sách tài khoản thanh toán,Tiền Vay,Dịch vụ vay cầm cố
785,Lấy chi tiết tài khoản thanh toán có hợp lệ,Tiền Vay,Dịch vụ vay cầm cố
786,Lấy danh sách param của mở vay cầm cố,Tiền Vay,Dịch vụ vay cầm cố
787,Tạo tài khoản thanh toán từ tài khoản tiết kiệm,Tiền Vay,Dịch vụ vay cầm cố
788,Lấy danh sách khoản vay cầm cố tiền gửi online cần theo dõi,Tiền Vay,Dịch vụ vay cầm cố
789,Lấy chi tiết khoản vay cầm cố tiền gửi online,Tiền Vay,Dịch vụ vay cầm cố
801,Danh sách tài khoản thấu chi,Tiền Vay,Dịch vụ vay thấu chi
802,Chi tiết tài khoản thấu chi,Tiền Vay,Dịch vụ vay thấu chi
803,Khởi tạo chấm dứt vay thấu chi,Tiền Vay,Dịch vụ vay thấu chi
804,Xác nhận chấm dứt vay thấu chi,Tiền Vay,Dịch vụ vay thấu chi
810,Tặng quà nhiều người - Khởi tạo,Dịch vụ khác,Dịch vụ tặng quà
811,Tặng quà nhiều người - Xác nhận,Dịch vụ khác,Dịch vụ tặng quà
818,Danh sách đầu số điện thoại,Dịch vụ khác,Dịch vụ đầu số điện thoại
819,Danh sách số điện thoại theo cif,Dịch vụ khác,Dịch vụ đầu số điện thoại
820,Kiểm tra đăng ký BSMS,Dịch vụ khác,Dịch vụ BSMS
821,Khởi tạo đăng ký BSMS,Dịch vụ khác,Dịch vụ BSMS
822,Xác nhận đăng ký BSMS,Dịch vụ khác,Dịch vụ BSMS
823,Hủy đăng ký BSMS -Khởi tạo,Dịch vụ khác,Dịch vụ BSMS
824,Hủy đăng ký BSMS -Xác nhận,Dịch vụ khác,Dịch vụ BSMS
840,Danh sách tài khoản định danh,Dịch vụ tùy biến cá nhân,Dịch vụ tài khoản định danh
841,Danh sách loại tài khoản định danh,Dịch vụ tùy biến cá nhân,Dịch vụ tài khoản định danh
842,Khởi tạo mở tài khoản định danh,Dịch vụ tùy biến cá nhân,Dịch vụ tài khoản định danh
843,Xác nhận mở tài khoản định danh,Dịch vụ tùy biến cá nhân,Dịch vụ tài khoản định danh
844,Khởi tạo thay đổi tài khoản định danh,Dịch vụ tùy biến cá nhân,Dịch vụ tài khoản định danh
845,Xác nhận thay đổi tài khoản định danh,Dịch vụ tùy biến cá nhân,Dịch vụ tài khoản định danh
846,Khóa/Mở khóa tài khoản định danh,Dịch vụ tùy biến cá nhân,Dịch vụ tài khoản định danh
900,Lấy danh sách số điện thoại và hạn mức giao dịch,Dịch vụ khác,Dịch vụ đầu số điện thoại
901,Tạo tài khoản Smart Kids không mở như ý,Smart Kids,Dịch vụ tài khoản Smart Kids
902,Xác nhận tạo tài khoản Smart Kids như ý và không như ý,Smart Kids,Dịch vụ tài khoản Smart Kids
903,Lấy danh sách Smart Kids của user chính,Smart Kids,Dịch vụ tài khoản Smart Kids
904,Khóa/Mở khóa/đóng tk Smart Kids,Smart Kids,Dịch vụ tài khoản Smart Kids
