MID,MDESC,Phân loại dịch vụ bậc 1,Phân loại dịch vụ bậc 2
31,Lấy danh sách Banner ,Sử dụng thông thường,Dịch vụ tùy biến ứng dụng
32,Khóa Soft OTP,Xác thực và Bảo mật,Dịch vụ Soft OTP
33,Lấy giá trị configs,Sử dụng thông thường,Dịch vụ tùy biến ứng dụng
34,Thay đổi trạng thái Pin Soft OTP,Xác thực và Bảo mật,Dịch vụ Soft OTP
35,"Kích hoạt Smart OTP trên thiết bị Root, Cập nhật PTXT SMS",Xác thực và Bảo mật,Dịch vụ SmartOTP
36,Xác thực tài khoản,Xác thực và Bảo mật,Dịch vụ bảo mật
37,Khóa Soft OTP không Login,Xác thực và Bảo mật,Dịch vụ Soft OTP
38,Extend session,Sử dụng thông thường,Kéo dài thời lượng session
39,Lấy danh sách gói,Lấy thông tin,Lấy thông tin dịch vụ
40,Khởi tạo đổi gói dịch vụ,Dịch vụ khác,Dịch vụ đổi gói dịch vụ
41,Xác nhận đổi gói dịch vụ,Dịch vụ khác,Dịch vụ đổi gói dịch vụ
45,Khởi tạo cài đặt Email,Dịch vụ tùy biến cá nhân,Dịch vụ mail
46,Xác nhận cài đặt Email,Dịch vụ tùy biến cá nhân,Dịch vụ mail
47,Cập nhật Email,Dịch vụ tùy biến cá nhân,Dịch vụ mail
48,Khởi tạo cài đặt ĐN thiết bị khác,Xác thực và Bảo mật,Dịch vụ chuyển thiết bị khác
49,Xác nhận cài đặt ĐN thiết bị khác,Xác thực và Bảo mật,Dịch vụ chuyển thiết bị khác
50,Xác nhận cài đặt ĐN thiết bị khác có thu thập eKYC,Xác thực và Bảo mật,Dịch vụ chuyển thiết bị khác
51,Cập nhật cài đặt đăng nhập thiết bị khác,Xác thực và Bảo mật,Dịch vụ chuyển thiết bị khác
52,"Cài đặt giao diện VIP, NORMAL",Dịch vụ tùy biến cá nhân,Dịch vụ tùy biến ứng dụng
55,Kích hoạt lại trên thiết bị khác qua eKYC,Xác thực và Bảo mật,Dịch vụ chuyển thiết bị khác
56,Kích hoạt trình duyệt khác,Xác thực và Bảo mật,Dịch vụ chuyển thiết bị khác
58,Xác nhận quên mật khẩu qua eKYC,Xác thực và Bảo mật,Dịch vụ chuyển thiết bị khác
59,Lấy thông tin version,Sử dụng thông thường,Lấy thông tin dịch vụ
60,Lấy danh sách chức năng yêu thích,Sử dụng thông thường,Lấy thông tin dịch vụ
61,Kiểm tra trạng thái Soft OTP,Xác thực và Bảo mật,Dịch vụ Soft OTP
62,Kiểm tra Accessibility Client ,Dịch vụ tùy biến cá nhân,Dịch vụ hỗ trợ người khuyết tật
100,Khởi tạo chuyển khoản nội bộ,Chuyển tiền,Dịch vụ chuyển khoản nội bộ
101,Xác nhận chuyển khoản nội bộ,Chuyển tiền,Dịch vụ chuyển khoản nội bộ
102,Khởi tạo chuyển khoản 247 tới số tài khoản,Chuyển tiền,Dịch vụ chuyển khoản 247
103,Xác thực chuyển khoản 247 tới số tài khoản,Chuyển tiền,Dịch vụ chuyển khoản 247
104,Khởi tạo chuyển khoản 247 tới số thẻ,Chuyển tiền,Dịch vụ chuyển khoản 247
105,Xác thực chuyển khoản 247 tới số thẻ,Chuyển tiền,Dịch vụ chuyển khoản 247
106,Khởi tạo chuyển tiền trong nước,Chuyển tiền,Dịch vụ chuyển tiền trong nước
107,Xác nhận chuyển tiền trong nước,Chuyển tiền,Dịch vụ chuyển tiền trong nước
108,Khởi tạo chuyển tiền định kỳ,Chuyển tiền,Dịch vụ chuyển tiền định kỳ
109,Xác nhận chuyển tiền định kỳ,Chuyển tiền,Dịch vụ chuyển tiền định kỳ
110,Khởi tạo bán ngoại tệ,Ngoại tệ,Dịch vụ ngoại tệ
111,Xác nhận bán ngoại tệ,Ngoại tệ,Dịch vụ ngoại tệ
112,Kiểm tra điều kiện giao dịch 247 hạn mức cao,Chuyển tiền,Dịch vụ chuyển khoản 247
113,Danh sách giao dịch tách chuyển khoản 247,Chuyển tiền,Dịch vụ chuyển khoản 247
115,Khởi tạo nạp tiền điện thoại,Dịch vụ khác,Dịch vụ nạp tiền điện thoại
116,Xác nhận nạp tiền điện thoại,Dịch vụ khác,Dịch vụ nạp tiền điện thoại
117,Khởi tạo chuyển tiền từ thiện,Dịch vụ khác,Dịch vụ từ thiện
118,Xác nhận chuyển tiền từ thiện,Dịch vụ khác,Dịch vụ từ thiện
119,"Lấy danh sách nhà cung cấp, dịch vụ TTHD",Dịch vụ khác,Dịch vụ hóa đơn
120,Truy vấn thông tin hóa đơn,Dịch vụ khác,Dịch vụ hóa đơn
121,Khởi tạo thanh toán hóa đơn,Dịch vụ khác,Dịch vụ hóa đơn
122,Xác nhận thanh toán hóa đơn,Dịch vụ khác,Dịch vụ hóa đơn
123,"Lấy danh sách nhà cung cấp, dịch vụ TTHD định kỳ",Dịch vụ khác,Dịch vụ hóa đơn đinh kỳ
124,Khởi tạo thanh toán hóa đơn định kỳ,Dịch vụ khác,Dịch vụ hóa đơn đinh kỳ
125,Xác nhận thanh toán hóa đơn định kỳ,Dịch vụ khác,Dịch vụ hóa đơn đinh kỳ
126,Lấy danh sách TTHD định kỳ,Dịch vụ khác,Dịch vụ hóa đơn đinh kỳ
127,Lấy danh sách giao dịch TTHD định kỳ,Dịch vụ khác,Dịch vụ hóa đơn đinh kỳ
128,Khởi tạo thanh toán QR,Thanh toán,Dịch vụ QR
129,Xác nhận thanh toán QR,Thanh toán,Dịch vụ QR
130,Giải mã QR,Xác thực và Bảo mật,Dịch vụ QR
131,Lấy danh sách chứng khoán,Lấy thông tin,Lấy thông tin dịch vụ
132,Lấy danh sách nhóm bảo hiểm,Bảo hiểm,Dịch vụ bảo hiểm
133,Lấy danh sách bảo hiểm,Bảo hiểm,Dịch vụ bảo hiểm
134,Giải mã thông tin bảo hiểm,Bảo hiểm,Dịch vụ bảo hiểm
135,Ghi nhận thông tin bảo hiểm quan tâm,Bảo hiểm,Dịch vụ bảo hiểm
136,Khởi tạo chuyển khoản 247 tới số tài khoản giá trị cao,Chuyển tiền,Dịch vụ chuyển khoản 247
137,Xác thực chuyển khoản 247 tới số tài khoản giá trị cao,Chuyển tiền,Dịch vụ chuyển khoản 247
160,Lấy kỳ hạn tiết kiệm,Tiết kiệm,Dịch vụ tiết kiệm
161,Lấy phương thức đáo hạn,Tiết kiệm,Dịch vụ tiết kiệm
162,Khởi tạo mở tiết kiệm,Tiết kiệm,Dịch vụ tiết kiệm
163,Xác nhận mở tiết kiệm,Tiết kiệm,Dịch vụ tiết kiệm
164,Khởi tạo tất toán tiết kiệm,Tiết kiệm,Dịch vụ tiết kiệm
165,Xác nhận tất toán tiết kiệm,Tiết kiệm,Dịch vụ tiết kiệm
166,Lấy danh sách sản phẩm tiết kiệm,Tiết kiệm,Dịch vụ tiết kiệm
167,Truy vấn thông tin lãi suất tiết kiệm,Tiết kiệm,Dịch vụ tiết kiệm
168,Truy vấn thông tin số tiền tối thiểu tiết kiệm,Tiết kiệm,Dịch vụ tiết kiệm
169,Lấy thông tin tài khoản vay,Tiền Vay,Dịch vụ tiền vay
170,Khởi tạo trả nợ vay,Tiền Vay,Dịch vụ tiền vay
171,Xác nhận trả nợ vay,Tiền Vay,Dịch vụ tiền vay
200,Lấy thông tin tài khoản chuyển khoản nội bộ,Lấy thông tin,Lấy thông tin giao dịch
201,"Lấy thông tin tài khoản,thẻ chuyển khoản 247",Lấy thông tin,Lấy thông tin giao dịch
202,Lấy danh sách ngân hàng ck ngoài,Lấy thông tin,Lấy thông tin giao dịch
203,Lấy danh sách chuyển tiền định kỳ,Lấy thông tin,Lấy thông tin giao dịch
205,Lấy thông tin ngoại tệ,Lấy thông tin,Lấy thông tin giao dịch
206,Khởi tạo xóa chuyển khoản định kỳ,Chuyển tiền,Dịch vụ chuyển khoản định kỳ
207,Xác nhận xóa chuyển khoản định kỳ,Chuyển tiền,Dịch vụ chuyển khoản định kỳ
208,Lấy danh sách chuyển tiền từ thiện,Dịch vụ khác,Dịch vụ từ thiện
209,Xuất excel lịch sử tài khoản,Dịch vụ khác,Dịch vụ xuất excel
220,Lấy danh sách danh bạ thụ hưởng,Danh bạ / mẫu,Dịch vụ danh bạ thụ hưởng
221,Thêm danh bạ thụ hưởng,Danh bạ / mẫu,Dịch vụ danh bạ thụ hưởng
222,Sửa danh bạ thụ hưởng,Danh bạ / mẫu,Dịch vụ danh bạ thụ hưởng
223,Xóa danh bạ thụ hưởng,Danh bạ / mẫu,Dịch vụ danh bạ thụ hưởng
225,Lấy danh sách mẫu chuyển tiền,Danh bạ / mẫu,Dịch vụ mẫu chuyển tiền
226,Thêm mẫu chuyển tiền,Danh bạ / mẫu,Dịch vụ mẫu chuyển tiền
227,Sửa mẫu chuyển tiền,Danh bạ / mẫu,Dịch vụ mẫu chuyển tiền
228,Xóa mẫu chuyển tiền,Danh bạ / mẫu,Dịch vụ mẫu chuyển tiền
230,Lấy lịch sử topup,Thanh toán,Dịch vụ lịch sử Topup
231,Thêm lịch sử topup,Thanh toán,Dịch vụ lịch sử Topup
232,Xóa lịch sử topup,Thanh toán,Dịch vụ lịch sử Topup
235,Lấy danh sách mẫu thanh toán,Danh bạ / mẫu,Dịch vụ mẫu thanh toán
236,Thêm mẫu thanh toán,Danh bạ / mẫu,Dịch vụ mẫu thanh toán
237,Sửa mẫu thanh toán,Danh bạ / mẫu,Dịch vụ mẫu thanh toán
238,Xóa mẫu thanh toán,Danh bạ / mẫu,Dịch vụ mẫu thanh toán
239,Cập nhật thông báo cước,Lấy thông tin,Thông báo cước
240,Lịch sử giao dịch gần đây,Lấy thông tin,Lấy thông tin cá nhân
241,Xóa giao dịch gần đây,Lấy thông tin,Chỉnh sửa lịch sử giao dịch
300,Lấy thông tin xác nhận  smartOtp,Xác thực và Bảo mật,Dịch vụ SmartOTP
302,Kiểm tra giao dịch xác nhận smartOtp,Xác thực và Bảo mật,Dịch vụ SmartOTP
303,Huỷ xác thực smart otp,Xác thực và Bảo mật,Dịch vụ SmartOTP
310,Lấy danh sách thẻ,Thẻ,Dịch vụ thẻ
311,Chi tiết thẻ,Thẻ,Dịch vụ thẻ
312,Lịch sử thẻ,Thẻ,Dịch vụ thẻ
313,Sao kê thẻ,Thẻ,Dịch vụ thẻ
314,Khởi tạo chấm dứt sử dụng thẻ GNNĐ,Thẻ,Dịch vụ thẻ
315,Xác nhận chấm dứt sử dụng thẻ GNNĐ,Thẻ,Dịch vụ thẻ
330,Nạp tiền y tế - Kiểm tra thông tin,Dịch vụ khác,Dịch vụ y tế
331,Nạp tiền y tế - Khởi tạo,Dịch vụ khác,Dịch vụ y tế
332,Nạp tiền y tế - Xác nhận,Dịch vụ khác,Dịch vụ y tế
333,Mở/Khoá thẻ - Khởi tạo,Thẻ,Dịch vụ thẻ
334,Mở khoá thẻ - Xác nhận,Thẻ,Dịch vụ thẻ
335,Thay đổi tải khoản liên kết - Khởi tạo,Dịch vụ tùy biến cá nhân,Dịch vụ thay đổi tài khoản liên kết
336,Thay đổi tải khoản liên kết - Xác nhận,Dịch vụ tùy biến cá nhân,Dịch vụ thay đổi tài khoản liên kết
337,Mở/khoá thanh toán trực tuyến - Khởi tạo,Thanh toán,Dịch vụ thanh toán trực tuyến
338,Mở/khoá thanh toán trực tuyến - Xác nhận,Thanh toán,Dịch vụ thanh toán trực tuyến
339,Kích hoạt thẻ lần đầu - Khởi tạo,Thẻ,Dịch vụ thẻ
340,Kích hoạt thẻ lần đầu - Xác nhận,Thẻ,Dịch vụ thẻ
341,Kích hoạt lại PIN - Khởi tạo,Xác thực và Bảo mật,Dịch vụ kích hoạt lại PIN
342,Kích hoạt lại PIN - Xác nhận,Xác thực và Bảo mật,Dịch vụ kích hoạt lại PIN
343,Thanh toán thẻ tín dung - Khởi tạo,Thẻ,Dịch vụ thanh toán thẻ tín dụng
344,Thanh toán thẻ tín dung - Xác nhận,Thẻ,Dịch vụ thanh toán thẻ tín dụng
345,Thanh toán thẻ tín dung -Lấy thông tin,Thẻ,Dịch vụ thanh toán thẻ tín dụng
350,Lấy token ZPK thẻ,Xác thực và Bảo mật,Dịch vụ PIN thẻ
353,Khởi tạo đổi pin thẻ,Xác thực và Bảo mật,Dịch vụ PIN thẻ
354,Xác nhận đổi pin thẻ,Xác thực và Bảo mật,Dịch vụ PIN thẻ
355,Khởi tạo đặt pin thẻ,Xác thực và Bảo mật,Dịch vụ PIN thẻ
356,Xác nhận đặt pin thẻ,Xác thực và Bảo mật,Dịch vụ PIN thẻ
357,Kiểm tra thông tin đặt EPIN,Xác thực và Bảo mật,Dịch vụ PIN thẻ
358,Lấy danh sách bệnh viện có thể liên kết ,Dịch vụ khác,Dịch vụ y tế
359,Khởi tạo - Liên kết thẻ y tế phi vật lý,Dịch vụ khác,Dịch vụ y tế
360,Xác nhận - Liên kết thẻ y tế phi vật lý,Dịch vụ khác,Dịch vụ y tế
361,Danh sách token (thẻ ảo) đã liên kết,Dịch vụ khác,Dịch vụ y tế
362,Khởi tạo - Hủy liên kết thẻ y tế phi vật lý,Dịch vụ khác,Dịch vụ y tế
363,Xác nhận - Hủy liên kết thẻ y tế phi vật lý,Dịch vụ khác,Dịch vụ y tế
364,Danh sách thẻ đủ điều kiện đăng ký trả góp,Trả góp,Dịch vụ trả góp
365,Danh sách giao dịch được phép trả góp,Trả góp,Dịch vụ trả góp
366,Lấy danh sách kỳ hạn của giao dịch,Trả góp,Dịch vụ trả góp
367,Khởi tạo đăng ký giao dịch trả góp,Trả góp,Dịch vụ trả góp
368,Xác nhận đăng ký giao dịch trả góp,Trả góp,Dịch vụ trả góp
369,Danh sách giao dịch đã trả góp,Trả góp,Dịch vụ trả góp
370,Tặng quà - Khởi tạo,Dịch vụ khác,Dịch vụ tặng quà
371,Tặng quà - Xác nhận,Dịch vụ khác,Dịch vụ tặng quà
379,Lấy thông tin bán chéo,Lấy thông tin,Lấy thông tin dịch vụ
380,Báo cáo giao dịch,Lấy thông tin,Lấy thông tin cá nhân
381,Danh sách loại dịch vụ,Lấy thông tin,Lấy thông tin dịch vụ
382,Lưu thông tin góp ý,Lấy thông tin,Góp ý thông tin
383,Lưu thông tin tra soát,Tra soát,Dịch vụ tra soát
384,Danh sách hạn mức gói dịch vụ,Dịch vụ khác,Lấy thông tin dịch vụ
385,Danh sách Atm,Rút tiền,Dịch vụ tìm kiếm ATM
386,Lấy danh sách province ATM,Rút tiền,Dịch vụ tìm kiếm ATM
387,Lấy danh sách district ATM,Rút tiền,Dịch vụ tìm kiếm ATM
388,Lấy danh sách dịch vụ,Dịch vụ khác,Lấy thông tin dịch vụ
389,Danh sách giao dịch tra soát,Tra soát,Dịch vụ tra soát
390,Loại vay của khách hàng,Tiền Vay,Dịch vụ vay
391,Lấy thông tin khách hàng vay,Tiền Vay,Dịch vụ vay
392,Vay online - Khởi tạo,Tiền Vay,Dịch vụ vay
